SystemNotes,guproplanid,guaccountid,enddate,ProPlanCode,B_Isvalid,CAFReserve,SMSSID,VCNO,STBNO,Status,CASType,RefNo,NextRenewal,LCOCode,SubsName,RowNumber,MainKey,DateofActivated,TotalB2BAmount,TotalB2CAmount,ExpiryDate,BillingDetails,id
0,P000100010000100001000000110,M000100010000100001000190612,,DD OKHLA,0,,190612,000211649728,340016297026259,Active,NDS,-,-,LCODL719,Dummy,3,00A9F171,,139.24,274.94,4/17/2019 11:59:59 PM,,3
0,P000100010000100001000000110,M000100010000100001000191541,,DD OKHLA,0,,191541,000008277030,310011108418999,Active,NDS,-,-,LCODL719,Dummy,4,00AA6A8A,,139.24,274.94,4/19/2019 11:59:59 PM,,4
0,P000100010000100001000000110,M000100010000100001000192333,,DD OKHLA,0,,192333,000025341736,320012344022502,Active,NDS,-,-,LCODL719,Dummy,5,00AAB317,,139.24,274.94,4/19/2019 11:59:59 PM,,5
0,P000100010000100001000000110,M000100010000100001000192791,,DD OKHLA,0,,192791,000024931925,320012299159036,Active,NDS,-,-,LCODL719,Dummy,6,00AB0891,,139.24,274.94,4/19/2019 11:59:59 PM,,6
0,P000100010000100001000000110,M000100010000100001000192822,,DD OKHLA,0,,192822,000093641645,350015064046703,Active,NDS,-,-,LCODL719,Dummy,7,00AB11B2,,139.24,274.94,4/19/2019 11:59:59 PM,,7
0,P000100010000100001000000110,M000100010000100001000192842,,DD OKHLA,0,,192842,000025353509,320012344003429,Active,NDS,-,-,LCODL719,Dummy,8,00AB1382,,271.18,404.74,4/19/2019 11:59:59 PM,,8
0,P000100010000100001000000110,M000100010000100001000192861,,DD OKHLA,0,,192861,000088236898,340014230308330,Active,NDS,-,-,LCODL719,Dummy,9,00AB16A3,,139.24,274.94,4/19/2019 11:59:59 PM,,9
0,P000100010000100001000000110,M000100010000100001000192981,,DD OKHLA,0,,192981,000000446500,350116363202656,Active,NDS,-,-,LCODL719,Dummy,10,00AB20B8,,139.24,274.94,4/19/2019 11:59:59 PM,,10
0,P000100010000100001000000110,M000100010000100001000193098,,DD OKHLA,0,,193098,000223426891,100008199031693,Active,NDS,-,-,LCODL719,Dummy,14,00AB4B0F,,139.24,274.94,4/19/2019 11:59:59 PM,,14
0,P000100010000100001000000110,M000100010000100001000193306,,DD OKHLA,0,,193306,000024559148,320012302174741,Active,NDS,-,-,LCODL719,Dummy,15,00AB70EA,,139.24,274.94,4/19/2019 11:59:59 PM,,15
0,P000100010000100001000000110,M000100010000100001000194336,,DD OKHLA,0,,194336,000035372119,320013167062625,Active,NDS,-,-,LCODL719,Dummy,16,00AC05D8,,206.50,359.90,5/2/2019 11:59:59 PM,,16
