SystemNotes,guproplanid,guaccountid,ExpiryDate,ProPlanCode,B_Isvalid,CAFReserve,SMSSID,VCNO,STBNO,Status,CASType,RefNo,NextRenewal,LCOCode,GULCOID,SubsName,RowNumber,MainKey,DateofActivated,TotalB2BAmount,TotalB2CAmount,BillingDetails,id
0,P000100010000100001000000207,M000100010000100001011510319,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11510319,000217721265,350117263032201,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,1,00A738EF,,139.24,274.94,,1
0,P000100010000100001000000207,M000100010000100001011510320,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11510320,000217721299,350117263041111,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,2,00A738F0,,111.30,223.02,,2
0,P000100010000100001000000207,M000100010000100001011510321,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11510321,000217721356,350117263031757,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,3,00A738F1,,139.24,274.94,,3
0,P000100010000100001000000207,M000100010000100001011510322,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11510322,000217722065,350117263027938,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,4,00A738F2,,139.24,274.94,,4
0,P000100010000100001000000207,M000100010000100001011510323,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11510323,000217721349,350117263032169,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,5,00A738F3,,139.24,274.94,,5
0,P000100010000100001000000207,M000100010000100001011510324,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11510324,000217722057,350117263032219,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,6,00A738F4,,139.24,274.94,,6
0,P000100010000100001000000207,M000100010000100001011510325,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11510325,000217721307,350117263028191,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,7,00A738F5,,139.24,274.94,,7
0,P000100010000100001000000207,M000100010000100001011510326,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11510326,000217721273,350117263028233,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,8,00A738F6,,156.98,274.94,,8
0,P000100010000100001000000207,M000100010000100001011510327,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11510327,000217721281,350117263032193,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,9,00A738F7,,139.24,274.94,,9
0,P000100010000100001000000207,M000100010000100001011513982,4/4/2019 11:26:42 PM,DD SAHIBABAD,0,,11513982,000217418599,350117224057826,Active,NDS,-,-,LCOGZB710,M000100010000100001000018797,Dummy,10,00A7547B,,151.70,289.10,,10
