SystemNotes,guproplanid,guaccountid,ExpiryDate,ProPlanCode,B_Isvalid,CAFReserve,SMSSID,VCNO,STBNO,Status,CASType,RefNo,NextRenewal,LCOCode,GULCOID,SubsName,RowNumber,MainKey,DateofActivated,TotalB2BAmount,TotalB2CAmount,BillingDetails,id
0,P000100010000100001000000241,M000100010000100001008578375,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578375,000102842689,350115235365741,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,1,006DC5BA,,61.36,153.40,,1
0,P000100010000100001000000241,M000100010000100001008578378,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578378,000101251858,350115235367457,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,2,006DC5BD,,61.36,153.40,,2
0,P000100010000100001000000241,M000100010000100001008578380,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578380,000101251833,350115235367473,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,3,006DC5BF,,61.36,153.40,,3
0,P000100010000100001000000241,M000100010000100001008578381,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578381,000101251809,350115235367481,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,4,006DC5C0,,61.36,153.40,,4
0,P000100010000100001000000241,M000100010000100001008578384,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578384,000103944054,350115237315165,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,6,006DC5C3,,61.36,153.40,,6
0,P000100010000100001000000241,M000100010000100001008578387,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578387,000103944187,350115237315199,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,7,006DC5C6,,61.36,153.40,,7
0,P000100010000100001000000241,M000100010000100001008578391,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578391,000102871860,350115237351905,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,8,006DC5CA,,61.36,153.40,,8
0,P000100010000100001000000241,M000100010000100001008578436,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578436,000097945729,350115258011107,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,9,006DC5F7,,91.56,200.60,,9
0,P000100010000100001000000241,M000100010000100001008578439,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578439,000097945760,350115258011149,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,11,006DC5FA,,61.36,153.40,,11
0,P000100010000100001000000241,M000100010000100001008578441,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578441,000097945786,350115258011164,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,13,006DC5FC,,61.36,153.40,,13
0,P000100010000100001000000241,M000100010000100001008578442,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578442,000097945802,350115258011180,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,14,006DC5FD,,90.52,199.42,,14
0,P000100010000100001000000241,M000100010000100001008578444,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578444,000097945828,350115258011206,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,15,006DC5FF,,61.36,153.40,,15
0,P000100010000100001000000241,M000100010000100001008578445,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578445,000097945836,350115258011214,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,16,006DC600,,61.36,153.40,,16
0,P000100010000100001000000241,M000100010000100001008578446,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578446,000097945844,350115258011222,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,17,006DC601,,61.36,153.40,,17
0,P000100010000100001000000241,M000100010000100001008578447,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578447,000097945851,350115258011230,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,18,006DC602,,123.78,237.18,,18
0,P000100010000100001000000241,M000100010000100001008578448,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578448,000097945869,350115258011248,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,19,006DC603,,61.36,153.40,,19
0,P000100010000100001000000241,M000100010000100001008578449,4/5/2019 2:52:53 AM,DD SOLAPUR 1,0,,8578449,000097945877,350115258011255,Active,NDS,-,-,LCOPN320,M000100010000100001000015838,Dummy,20,006DC604,,61.36,153.40,,20
0,P000100010000100001000000241,M000100010000100001008578450,4/5/2019 2:52:53 AM,D
